Amsterdam Noord,Amsterdam Oost ,Amsterdam Zuidoost,AmsterdamZuid,Amsterdam West ,Amsterdam Nieuw-West,Amsterdam Westepoort,Amsterdam Centrum
noord amsterdam,Zeeburg,Bijlmer,Zuidas,Overtoomse Sluis,Andreas Ensemble,Westelijk Havengebied,Burgwallen Oude Zijde
ndsm werf,Watergraafsmeer,Bijlmermeer,Buitenveldert,Bos en Lommer,Delflandpleinbuurt,Bedrijvengebied Sloterdijk,Burgwallen Nieuwe Zijde
Buikslotermeer,Science park,Holendrecht,Amsterdamse Bos,Landlust,Geuzenveld,Teleport,Grachtengordel
Nieuwendam ,Betondorp,Gein ,Rijnbuurt,Westindisched Buurt,Eendracht,westerpoort,Nieuwmarkt en Lastage
Buiksloot,De Omval ,Bullewijk ,Schelderbuurt,Overtoomse veld,Lutkemeer en Ookmeer,,Haarlemmerbuurt
Volewijck,Indische Buurt,Bijlmer-Centrum ,Station Zuid,Admiralenbuurt,Middelveldsche Akerpolder en dorp Sloten,,Westelijke Eilanden
Overhoeks,Haveneiland,Gaasperdam,Rivierenbuurt,Bellamybuurt,Nieuw Sloten,,Planciusbuurt
Buiksloterham,Steigereiland,Duivendrecht,ijsselbuurt,Borgerbuurt,Noorderhof,,Jordaan
Tuindorp Oostzaan,ZeeBurg ,Diemen,De Pijp,Centrale Markthallen,Oostoever,,Weteringschans
Molenwijk,Cruiquiuseiland,zuidoost,Duivelseiland,Chassbuurt,Osdorp-Oost,,Weesperstraatbuurt en Plantage
Buiksloterham,Amsteldorp,,Appolobuurt,Cremerbuurt,Osdorp-Midden,,Oostelijke Eilanden
Overhoeks,Betondorp,,Willemspark ,Da Costabuurt,Overtoomse Veld,,
Volewijck,Dapperbuurt,,Schinkelbuurt,Erasmusparkbuurt,Spieringhorn,,
Tuindorp Buiksloterham,Don Bosco,,Apollobuurt (de naam Beethovenbuurt komt (niet officieel) ook voor),Frederik Hendrikbuurt,Slotermeer-Noordoost,,
Floradorp,IJburg,,Buitenveldert,Gibraltarbuurt,Slotermeer-Zuidwest,,
de Bloemenbuurt,Indische Buurt,,Buitenveldert-Oost,Gulden Winckelbuurt,Sloterparkwijk,,
Disteldorp,Jeruzalem,,Buitenveldert-West,Helmersbuurt,Sloterpoort,,
Van der Pekbuurt,Julianapark,,Hoofddorppleinbuurt,Houthaven,Staalmanpleinbuurt,,
Nieuwendammerham,Van der Kunbuurt,,Schinkel,Jan Maijenbuurt,Delflandpleinbuurt,,
IJplein en Vogelbuurt,Middenmeer I en II,,Museumkwartier (de naam Concertgebouwbuurt komt (niet officieel) ook voor),Kinkerbuurt ,Geuzenveld,,
Vogeldorp,De Omval,,Duivelseiland,Kolenkitbuurt,Eendracht,,
Nieuwendammerdijk,Oostelijk Havengebied,,Oude Pijp,Kop van Jut,Spieringhorn,,
Tuindorp Nieuwendam,Oosterparkbuurt,,Nieuwe Pijp,De Krommert,Nieuw Sloten,,
Tuindorp Buiksloot,Oostpoort,,Diamantbuurt,Laan van Spartaan,Osdorp,,
Tuindorp Oostzaan,Overamstel,,Prinses Irenebuurt / Zuidas-gebied,Landlust,Osdorp-Midden,,
De Bongerd ,Tuinwijck,,Rivierenbuurt,Mercatorbuurt,Osdorp-Oost,,
Oostzanerwerf,Transvaalbuurt,,IJsselbuurt,Overtoombuurt,De Punt,,
Molenwijk,Weesperzijde,,Rijnbuurt,Postjesbuurt,De Aker,,
Kadoelen,Zeeburgereiland,,Scheldebuurt,Robert Scottbuurt,Lutkemeer,,
Banne Buiksloot,,,Schinkelbuurt,Spaarndammerbuurt,Ookmeer,,
Waterlandpleinbuurt,,,Stadionbuurt,Staatsliedenbuurt,Oud Osdorp,,
Buikslotermeer,,,Willemspark,Trompbuurt,Overtoomse Veld,,
Elzenhagen ,,,,Vondelparkbuurt,Park Haagseweg,,
Landelijk Noord,,,,Waterwijk,Riekerpolder,,
Zunderdorp,,,,Zeeheldenbuurt,dorp Sloten,,
Ransdorp,,,,,Slotermeer,,
Holysloot,,,,Cremerbuurt,Slotermeer Noordoost,,
Durgerdam,,,,Helmersbuurt,Slotermeer Zuidwest,,
Schellingwoude,,,,Vondelparkbuurt,Slotervaart,,
,,,,,Sloterparkwijk,,
,,,,,Oostoever,,
,,,,,Sloterpoort,,
,,,,,Staalmanpleinbuurt,,
,,,,,,,
,,,,,Koningin Wilhelminaplein,,
